id,set,category,best,second,mean15,cut,ok,kw_rank
h001,golden_hard_paraphrase.jsonl,enumeration,-2.004324197769165,-3.1293623447418213,-8.72754987080892,True,False,3
h002,golden_hard_paraphrase.jsonl,direct_fact,-0.23126554489135742,-0.7765018939971924,-5.93298389116923,False,True,
h003,golden_hard_paraphrase.jsonl,direct_fact,-2.722794532775879,-3.7610955238342285,-6.810955301920573,True,False,3
h004,golden_hard_paraphrase.jsonl,direct_fact,-8.203107833862305,-8.64350700378418,-10.669519742329916,True,False,1
h005,golden_hard_paraphrase.jsonl,direct_fact,-1.1300128698349,-2.6522746086120605,-5.7743002812067665,False,True,2
h006,golden_hard_paraphrase.jsonl,enumeration,-2.723301649093628,-3.0486559867858887,-7.601448520024618,True,False,9
h007,golden_hard_paraphrase.jsonl,reasoning,-5.301923751831055,-6.34060525894165,-9.94603935877482,True,False,2
h008,golden_hard_paraphrase.jsonl,direct_fact,-5.175212860107422,-7.384187698364258,-9.354582532246907,True,False,
h009,golden_hard_paraphrase.jsonl,direct_fact,-2.992046356201172,-8.113892555236816,-8.98185609181722,True,False,
h010,golden_hard_paraphrase.jsonl,direct_fact,0.0003313906490802765,-0.6495206356048584,-4.946536859621604,False,True,5
h011,golden_hard_paraphrase.jsonl,multi_hop,-1.5470000505447388,-4.0211358070373535,-6.7575520277023315,False,True,3
h012,golden_hard_paraphrase.jsonl,multi_hop,-6.1948933601379395,-9.122312545776367,-9.8149977684021,True,False,
h013,golden_hard_paraphrase.jsonl,multi_hop,-3.0940089225769043,-3.2462284564971924,-7.9505504131317135,True,False,1
h014,golden_hard_paraphrase.jsonl,multi_hop,-0.27979087829589844,-4.820260524749756,-6.923508167266846,False,True,1
h015,golden_hard_paraphrase.jsonl,multi_hop,-3.8718411922454834,-5.053932189941406,-7.493838485081991,True,False,9
h016,golden_hard_paraphrase.jsonl,multi_hop,-9.957977294921875,-10.264751434326172,-11.051187578837077,True,False,11
q001,golden_set_50.jsonl,direct_fact,2.961709976196289,1.6268138885498047,-0.4910451203584671,False,True,1
q002,golden_set_50.jsonl,enumeration,9.19236946105957,9.121198654174805,-0.05163870255152384,False,True,1
q003,golden_set_50.jsonl,direct_fact,1.533843755722046,0.10694985091686249,-6.466240482529004,False,True,1
q004,golden_set_50.jsonl,reasoning,6.207307815551758,5.618493556976318,2.6274904792507487,False,True,1
q005,golden_set_50.jsonl,direct_fact,3.8238742351531982,3.227505683898926,-5.941057235002518,False,True,1
q006,golden_set_50.jsonl,enumeration,4.413993835449219,2.671605110168457,0.5375898482898871,False,True,3
q007,golden_set_50.jsonl,direct_fact,1.0183519124984741,0.8736798763275146,-2.2667067964871723,False,True,1
